Geneid;Length;Group;Rep1_ChIP.bam;Rep1_input.bam;Rep2_ChIP.bam;Rep2_input.bam;Rep1_input_norm;Rep1_ChIP_norm;Rep2_input_norm;Rep2_ChIP_norm;Rep1_enriched;Rep2_enriched;Average;SD;z-score;p-value;log10(p-value);rank;p-adj;log2(FC);color
LTR16A1;789482;LTR/ERVL;213.0;190.0;193.0;176.0;0.0004929367354616093;0.0005460236405164922;0.00044934640522875815;0.0004955350494764788;1.1076951690467336;1.1027907282894729;1.1052429486681032;0.0024522203786303542;42.917410517110575;1e-16;16.0;127;1.2396062992125985e-14;0.14436353008115804;grey
Kanga11a;184308;DNA/TcMar-Tc2;38.0;48.0;46.0;56.0;0.0001245313858008276;9.741266826115824e-05;0.00014297385620915033;0.00011810679935708821;0.7822338732900446;0.8260726995032912;0.8041532863966678;0.02191941310662332;8.934852071570921;1e-16;16.0;137;1.1491240875912409e-14;-0.314457563077974;grey
LTR24;150172;LTR/ERV1;25.0;29.0;26.0;30.0;7.523771225466669e-05;6.4087281750762e-05;7.659313725490196e-05;6.675601702791942e-05;0.8517973211869813;0.871566558316516;0.8616819397517486;0.009884618564767356;13.993262293526538;1e-16;16.0;141;1.1165248226950355e-14;-0.21477264856528447;grey
MLT1F;1539836;LTR/ERVL-MaLR;418.0;328.0;385.0;296.0;0.0008509644696389887;0.0010715393508727406;0.000755718954248366;0.000988502559836499;1.2592057472473888;1.308029333232297;1.2836175402398429;0.024411792992454107;11.618054451285552;1e-16;16.0;142;1.108661971830986e-14;0.36021540885213255;grey
MamGypsy2-I;678448;LTR/Gypsy;122.0;126.0;117.0;123.0;0.00032689488772717247;0.00031274593494371854;0.00031403186274509806;0.0003004020766256374;0.9567171182093778;0.9565974420547125;0.9566572801320452;5.983807733261903e-05;724.3334311533391;1e-16;16.0;147;1.070952380952381e-14;-0.06392591919306893;grey
Tigger11a;98144;DNA/TcMar-Tigger;26.0;12.0;25.0;11.0;3.11328464502069e-05;6.665077302079247e-05;2.8084150326797384e-05;6.418847791146098e-05;2.1408506005832795;2.2855766389419125;2.213213619762596;0.07236301917931653;16.76565783907159;1e-16;16.0;152;1.0357236842105263e-14;1.1461427070352042;red
SAT-VAR_rnd-6_family-3554;140079;Satellite;12.0;23.0;17.0;29.0;5.9671289029563234e-05;3.076189524036576e-05;7.404003267973856e-05;4.3648164979793464e-05;0.5155225526488165;0.5895211468719139;0.5525218497603652;0.0369992971115487;12.094233814511089;1e-16;16.0;157;1.0027388535031848e-14;-0.855896577138718;blue
Tigger17;34776;DNA/TcMar-Tigger;3.0;11.0;1.0;10.0;2.853844257935633e-05;7.69047381009144e-06;2.5531045751633988e-05;2.5675391164584392e-06;0.26947769797551774;0.10056537211344414;0.18502153504448093;0.0844561629310368;9.649721662361037;1e-16;16.0;162;9.717901234567902e-15;-2.434234896071484;blue
HERV1_LTRa;27273;LTR/ERV1;8.0;4.0;12.0;6.0;1.03776154834023e-05;2.050793016024384e-05;1.5318627450980392e-05;3.0810469397501274e-05;1.976169785153797;2.0113074422688832;1.99373861371134;0.01756882855754316;56.56259951860474;1e-16;16.0;167;9.426946107784432e-15;0.9954762796353296;red
FordPrefect;485321;DNA/hAT-Tip100;69.0;59.0;73.0;65.0;0.00015306982838018395;0.00017688089763210312;0.00016595179738562092;0.00018743035550146606;1.155556908267898;1.1294264868125266;1.1424916975402124;0.013065210727685739;10.906192063038556;1e-16;16.0;176;8.944886363636365e-15;0.1921836812911487;grey
L1PA2;11527852;LINE/L1;1789.0;1352.0;1922.0;1458.0;0.0035076340333899778;0.004586085882084529;0.003722426470588235;0.00493481018183312;1.3074584858136622;1.325697155020848;1.3165778204172551;0.009119334603592932;34.71501312086152;1e-16;16.0;177;8.894350282485876e-15;0.39679279887119323;grey
MER126;41121;DNA;2.0;9.0;4.0;18.0;2.334963483765518e-05;5.12698254006096e-06;4.5955882352941176e-05;1.0270156465833757e-05;0.2195744205726441;0.22347860469654254;0.22152651263459333;0.001952092061949226;398.7893309642764;1e-16;16.0;179;8.794972067039106e-15;-2.1744487218069826;blue
MER130;30393;DNA;5.0;13.0;3.0;8.0;3.372725032105748e-05;1.2817456350152399e-05;2.0424836601307188e-05;7.702617349375318e-06;0.3800326509911147;0.3771201454254156;0.37857639820826516;0.0014562527828495542;426.727838126943;1e-16;16.0;180;8.746111111111111e-15;-1.4013436237540233;blue
SVA_C;806263;Retroposon/SVA;110.0;83.0;93.0;71.0;0.00021533552128059775;0.0002819840397033528;0.00018127042483660131;0.00023878113783063485;1.3095100985958894;1.3172647333169445;1.313387415956417;0.0038773173605275435;80.8258357045547;1e-16;16.0;181;8.697790055248619e-15;0.39329253743180176;grey
LTR84b;284168;LTR/ERVL;61.0;48.0;66.0;54.0;0.0001245313858008276;0.00015637296747185927;0.00013786764705882353;0.000169457581686257;1.2556912176498083;1.229132325830984;1.2424117717403962;0.013279445909412102;18.25466012618655;1e-16;16.0;185;8.50972972972973e-15;0.3131434043090653;grey
SAT-VAR_rnd-6_family-1509;164714;Satellite;21.0;36.0;14.0;30.0;9.339853935062071e-05;5.383331667064008e-05;7.659313725490196e-05;3.594554763041815e-05;0.5763828540031907;0.46930506986273934;0.522843961932965;0.05353889207022566;8.912325593909584;1e-16;16.0;187;8.418716577540107e-15;-0.935547643508803;blue
LTR108c_Mam;11608;LTR/ERVL;0.1;2.0;0.1;2.0;5.18880774170115e-06;2.56349127003048e-07;5.106209150326797e-06;2.5675391164584395e-07;0.04940424462884492;0.050282686056722085;0.0498434653427835;0.00043922071393858245;2163.27806158541;1e-16;16.0;189;8.32962962962963e-15;-4.326451815252033;blue
LTR45C;143363;LTR/ERV1;30.0;37.0;20.0;24.0;9.599294322147129e-05;7.69047381009144e-05;6.127450980392157e-05;5.135078232916879e-05;0.8011499129001878;0.8380447676120346;0.8195973402561112;0.018447427355923418;9.779285548234562;1e-16;16.0;196;8.032142857142857e-15;-0.2870127923409658;grey
MSR1;92309;Satellite;4.0;12.0;5.0;21.0;3.11328464502069e-05;1.025396508012192e-05;5.361519607843137e-05;1.2837695582292197e-05;0.32936163085896614;0.23944136217486703;0.2844014965169166;0.044960134342049554;15.916289262815003;1e-16;16.0;198;7.951010101010101e-15;-1.8139990384678195;blue
Ricksha_b;81412;DNA/MULE-MuDR;6.0;4.0;11.0;8.0;1.03776154834023e-05;1.538094762018288e-05;2.0424836601307188e-05;2.824293028104283e-05;1.4821273388653475;1.382773866559857;1.4324506027126023;0.04967673615274526;8.705294192092449;1e-16;16.0;199;7.91105527638191e-15;0.5184853892786414;red
LTR10B2;133577;LTR/ERV1;35.0;21.0;35.0;20.0;5.448248128786208e-05;8.97221944510668e-05;5.1062091503267975e-05;8.986386907604537e-05;1.6468081542948305;1.7598940119852724;1.7033510831400513;0.05654292884522094;12.439240370186434;1e-16;16.0;203;7.755172413793103e-15;0.7683758241548753;red
AluYk11;82686;SINE/Alu;12.0;16.0;17.0;22.0;4.15104619336092e-05;3.076189524036576e-05;5.616830065359477e-05;4.3648164979793464e-05;0.7410636694326738;0.7770960572402502;0.7590798633364619;0.018016193903788225;13.372421386566023;1e-16;16.0;207;7.605314009661836e-15;-0.39767641428200595;grey
UCON44#DNA/TcMar;4950;DNA/TcMar;0.1;2.0;0.1;2.0;5.18880774170115e-06;2.56349127003048e-07;5.106209150326797e-06;2.5675391164584395e-07;0.04940424462884492;0.050282686056722085;0.0498434653427835;0.00043922071393858245;2163.27806158541;1e-16;16.0;219;7.188584474885844e-15;-4.326451815252033;blue
L1ME3Cz;5378417;LINE/L1;709.0;849.0;776.0;914.0;0.0022026488863521386;0.0018175153104516102;0.0023335375816993464;0.001992410354371749;0.8251498101731695;0.8538154131294602;0.8394826116513148;0.014332801478145363;11.199303122522274;1e-16;16.0;223;7.0596412556053816e-15;-0.2524276522077512;grey
LTR85b;242489;LTR/Gypsy;59.0;37.0;58.0;34.0;9.599294322147129e-05;0.0001512459849317983;8.680555555555556e-05;0.00014891726875458948;1.5755948287037025;1.7155269360528707;1.6455608823782866;0.06996605367458408;9.226772820156834;1e-16;16.0;225;6.996888888888889e-15;0.7185794042078467;red
MER97a;105571;DNA/hAT-Tip100;24.0;19.0;24.0;20.0;4.9293673546160934e-05;6.152379048073152e-05;5.1062091503267975e-05;6.162093879500255e-05;1.2481072327287137;1.2067844653613298;1.2274458490450217;0.02066138368369197;11.008258329985168;1e-16;16.0;226;6.965929203539823e-15;0.29565937888827337;grey
MER57B2;533071;LTR/ERV1;121.0;73.0;130.0;85.0;0.000189391482572092;0.00031018244367368806;0.00021701388888888888;0.0003337800851395971;1.6377845479699273;1.5380586323232635;1.5879215901465953;0.049862957823331944;11.790748399435987;1e-16;16.0;227;6.935242290748899e-15;0.6671396755164333;red
LOR1a;405124;LTR/ERV1;62.0;79.0;62.0;82.0;0.00020495790579719544;0.00015893645874188976;0.00020935457516339868;0.00015918742522042322;0.7754590296173126;0.7603723257357972;0.7679156776765549;0.007543351940757725;30.766736610745006;1e-16;16.0;231;6.815151515151516e-15;-0.38098019289496504;grey
Charlie4;159635;DNA/hAT-Charlie;16.0;38.0;13.0;37.0;9.858734709232187e-05;4.101586032048768e-05;9.446486928104575e-05;3.337800851395971e-05;0.41603574424290457;0.3533377939121011;0.3846867690775028;0.03134897516540175;19.627857933983968;1e-16;16.0;233;6.7566523605150215e-15;-1.3782438844743812;blue
MER61C;207559;LTR/ERV1;62.0;18.0;48.0;14.0;4.669926967531036e-05;0.00015893645874188976;3.5743464052287583e-05;0.0001232418775900051;3.403403518875983;3.4479556153180853;3.425679567097034;0.022276048221051115;108.8918260108963;1e-16;16.0;234;6.727777777777778e-15;1.7763902102134514;red
X6a_DNA;156577;DNA/TcMar-Tigger;38.0;50.0;37.0;48.0;0.00012972019354252876;9.741266826115824e-05;0.00012254901960784314;9.499894730896226e-05;0.7509445183584428;0.775191410041132;0.7630679641997874;0.012123445841344616;19.54329147841802;1e-16;16.0;239;6.587029288702929e-15;-0.39011653553754555;grey
HERVL74-int;141653;LTR/ERVL;23.0;12.0;47.0;25.0;3.11328464502069e-05;5.896029921070104e-05;6.382761437908497e-05;0.00012067433847354664;1.8938293774390553;1.8906289957327498;1.8922291865859027;0.001600190853152772;557.576732067922;1e-16;16.0;242;6.505371900826447e-15;0.9200868383211703;red
Tigger19a;459883;DNA/TcMar-Tigger;109.0;94.0;108.0;93.0;0.0002438739638599541;0.0002794205484333223;0.00023743872549019608;0.00027729422457751146;1.1457580137327863;1.1678559342206418;1.156806973976714;0.011048960243927762;14.19201178345186;1e-16;16.0;243;6.478600823045268e-15;0.21014815492180358;grey
X4b_DNA#DNA/TcMar;8410;DNA/TcMar;2.0;0.1;2.0;0.1;2.5944038708505754e-07;5.12698254006096e-06;2.553104575163399e-07;5.1350782329168784e-06;19.761697851537967;20.11307442268883;19.9373861371134;0.17568828557543092;107.78969169792896;1e-16;16.0;247;6.373684210526316e-15;4.317404374522692;red
MER34A;435492;LTR/ERV1;84.0;85.0;86.0;89.0;0.0002205243290222989;0.00021533326668256032;0.0002272263071895425;0.00022080836401542578;0.9764603644289348;0.9717552810962019;0.9741078227625684;0.002352541666366448;11.006044061877416;1e-16;16.0;248;6.3479838709677426e-15;-0.037846623652207534;grey
